Grid #,Fuel $,TL ,LTL
1,1.17,0.015,0.00975
2,1.18,0.015,0.01085
3,1.19,0.015,0.01195
4,1.2,0.02,0.01305
5,1.21,0.02,0.01415
6,1.22,0.02,0.01525
7,1.23,0.025,0.01635
8,1.24,0.025,0.01745
9,1.25,0.025,0.01855
10,1.26,0.03,0.01965
11,1.27,0.03,0.02075
12,1.28,0.03,0.02185
13,1.29,0.035,0.02295
14,1.3,0.035,0.02405
15,1.31,0.035,0.02515
16,1.32,0.04,0.02625
17,1.33,0.04,0.02735
18,1.34,0.04,0.02845
19,1.35,0.04,0.02955
20,1.36,0.045,0.03065
21,1.37,0.045,0.03175
22,1.38,0.045,0.03285
23,1.39,0.0675,0.03395
24,1.4,0.0675,0.03505
25,1.41,0.0675,0.03615
26,1.42,0.075,0.03725
27,1.43,0.075,0.03835
28,1.44,0.075,0.03945
29,1.45,0.08,0.04055
30,1.46,0.08,0.04165
31,1.47,0.08,0.04275
32,1.48,0.085,0.04385
33,1.49,0.085,0.04495
34,1.5,0.085,0.04605
35,1.51,0.09,0.04715
36,1.52,0.09,0.04825
37,1.53,0.09,0.04935
38,1.54,0.095,0.05045
39,1.55,0.095,0.05155
40,1.56,0.095,0.05265
41,1.57,0.103,0.05375
42,1.58,0.103,0.05485
43,1.59,0.103,0.05595
44,1.6,0.108,0.05705
45,1.61,0.108,0.05815
46,1.62,0.108,0.05925
47,1.63,0.113,0.06035
48,1.64,0.113,0.06145
49,1.65,0.113,0.06255
50,1.66,0.118,0.06365
51,1.67,0.118,0.06475
52,1.68,0.118,0.06585
53,1.69,0.123,0.06695
54,1.7,0.123,0.06805
55,1.71,0.123,0.06915
56,1.72,0.1239,0.07025
57,1.73,0.1248,0.07135
58,1.74,0.1257,0.07245
59,1.75,0.1266,0.07355
60,1.76,0.1275,0.07465
61,1.77,0.1284,0.07575
62,1.78,0.1293,0.07685
63,1.79,0.1302,0.07795
64,1.8,0.1311,0.07905
65,1.81,0.132,0.08015
66,1.82,0.1329,0.08125
67,1.83,0.1338,0.08235
68,1.84,0.1347,0.08345
69,1.85,0.1356,0.08455
70,1.86,0.1365,0.08565
71,1.87,0.1374,0.08675
72,1.88,0.1383,0.08785
73,1.89,0.1392,0.08895
74,1.9,0.1401,0.09005
75,1.91,0.141,0.09115
76,1.92,0.1419,0.09225
77,1.93,0.1428,0.09335
78,1.94,0.1437,0.09445
79,1.95,0.1446,0.09555
80,1.96,0.147,0.09665
81,1.97,0.1667,0.121691
82,1.98,0.167533,0.14240305
83,1.99,0.168366,0.1431111
84,2,0.169199,0.14381915
85,2.01,0.170032,0.1445272
86,2.02,0.170865,0.14523525
87,2.03,0.171698,0.1459433
88,2.04,0.172531,0.14665135
89,2.05,0.173364,0.1473594
90,2.06,0.174197,0.14806745
91,2.07,0.17503,0.1487755
92,2.08,0.175863,0.14948355
93,2.09,0.176696,0.1501916
94,2.1,0.177529,0.15089965
95,2.11,0.178362,0.1516077
96,2.12,0.179195,0.15231575
97,2.13,0.180028,0.1530238
98,2.14,0.180861,0.15373185
99,2.15,0.181694,0.1544399
100,2.16,0.182527,0.15514795
101,2.17,0.18336,0.155856
102,2.18,0.184193,0.15656405
103,2.19,0.185026,0.1572721
104,2.2,0.185859,0.15798015
105,2.21,0.186692,0.1586882
106,2.22,0.187525,0.15939625
107,2.23,0.188358,0.1601043
108,2.24,0.189191,0.16081235
109,2.25,0.190024,0.1615204
110,2.26,0.190857,0.16222845
111,2.27,0.19169,0.1629365
112,2.28,0.192523,0.16364455
113,2.29,0.193356,0.1643526
114,2.3,0.194189,0.16506065
115,2.31,0.195022,0.1657687
116,2.32,0.195855,0.16647675
117,2.33,0.196688,0.1671848
118,2.34,0.197521,0.16789285
119,2.35,0.198354,0.1686009
120,2.36,0.199187,0.16930895
121,2.37,0.20002,0.170017
122,2.38,0.200853,0.17072505
123,2.39,0.201686,0.1714331
124,2.4,0.202519,0.17214115
125,2.41,0.203352,0.1728492
126,2.42,0.204185,0.17355725
127,2.43,0.205018,0.1742653
128,2.44,0.205851,0.17497335
129,2.45,0.206684,0.1756814
130,2.46,0.207517,0.17638945
131,2.47,0.20835,0.1770975
132,2.48,0.209183,0.17780555
133,2.49,0.210016,0.1785136
134,2.5,0.210849,0.17922165
135,2.51,0.211682,0.1799297
136,2.52,0.212515,0.18063775
137,2.53,0.213348,0.1813458
138,2.54,0.214181,0.18205385
139,2.55,0.215014,0.1827619
140,2.56,0.215847,0.18346995
141,2.57,0.21668,0.184178
